,n_cases,n_outbreak_cases,outbreak
2004-01-05,0,0,False
2004-01-12,0,0,False
2004-01-19,2,0,False
2004-01-26,2,0,False
2004-02-02,1,0,False
2004-02-09,0,0,False
2004-02-16,1,0,False
2004-02-23,1,0,False
2004-03-01,2,0,False
2004-03-08,5,0,False
2004-03-15,1,0,False
2004-03-22,1,0,False
2004-03-29,0,0,False
2004-04-05,0,0,False
2004-04-12,1,0,False
2004-04-19,0,0,False
2004-04-26,3,0,False
2004-05-03,3,0,False
2004-05-10,3,0,False
2004-05-17,1,0,False
2004-05-24,3,0,False
2004-05-31,1,0,False
2004-06-07,1,0,False
2004-06-14,0,0,False
2004-06-21,1,0,False
2004-06-28,3,0,False
2004-07-05,0,0,False
2004-07-12,1,0,False
2004-07-19,1,0,False
2004-07-26,1,0,False
2004-08-02,3,0,False
2004-08-09,1,0,False
2004-08-16,0,0,False
2004-08-23,3,0,False
2004-08-30,3,0,False
2004-09-06,3,0,False
2004-09-13,3,0,False
2004-09-20,2,0,False
2004-09-27,4,0,False
2004-10-04,2,0,False
2004-10-11,3,0,False
2004-10-18,6,0,False
2004-10-25,2,0,False
2004-11-01,3,0,False
2004-11-08,2,0,False
2004-11-15,2,0,False
2004-11-22,3,0,False
2004-11-29,1,0,False
2004-12-06,1,0,False
2004-12-13,0,0,False
2004-12-20,4,0,False
2004-12-27,2,0,False
2005-01-03,1,0,False
2005-01-10,3,0,False
2005-01-17,1,0,False
2005-01-24,2,0,False
2005-01-31,2,0,False
2005-02-07,1,0,False
2005-02-14,1,0,False
2005-02-21,1,0,False
2005-02-28,1,0,False
2005-03-07,5,0,False
2005-03-14,2,0,False
2005-03-21,3,0,False
2005-03-28,1,0,False
2005-04-04,0,0,False
2005-04-11,2,0,False
2005-04-18,3,0,False
2005-04-25,3,0,False
2005-05-02,3,0,False
2005-05-09,0,0,False
2005-05-16,3,0,False
2005-05-23,1,0,False
2005-05-30,2,0,False
2005-06-06,7,0,False
2005-06-13,4,0,False
2005-06-20,3,0,False
2005-06-27,3,0,False
2005-07-04,10,0,False
2005-07-11,7,0,False
2005-07-18,6,0,False
2005-07-25,3,0,False
2005-08-01,2,0,False
2005-08-08,0,0,False
2005-08-15,4,0,False
2005-08-22,3,0,False
2005-08-29,5,0,False
2005-09-05,7,0,False
2005-09-12,8,0,False
2005-09-19,3,0,False
2005-09-26,9,0,False
2005-10-03,5,0,False
2005-10-10,2,0,False
2005-10-17,3,0,False
2005-10-24,0,0,False
2005-10-31,4,0,False
2005-11-07,1,0,False
2005-11-14,1,0,False
2005-11-21,1,0,False
2005-11-28,1,0,False
2005-12-05,4,0,False
2005-12-12,2,0,False
2005-12-19,1,0,False
2005-12-26,1,0,False
2006-01-02,1,0,False
2006-01-09,1,0,False
2006-01-16,2,0,False
2006-01-23,1,0,False
2006-01-30,1,0,False
2006-02-06,3,0,False
2006-02-13,3,0,False
2006-02-20,2,0,False
2006-02-27,1,0,False
2006-03-06,3,0,False
2006-03-13,1,0,False
2006-03-20,1,0,False
2006-03-27,1,0,False
2006-04-03,4,0,False
2006-04-10,1,0,False
2006-04-17,2,0,False
2006-04-24,2,0,False
2006-05-01,1,0,False
2006-05-08,3,0,False
2006-05-15,3,0,False
2006-05-22,4,0,False
2006-05-29,4,0,False
2006-06-05,3,0,False
2006-06-12,7,0,False
2006-06-19,2,0,False
2006-06-26,3,0,False
2006-07-03,6,0,False
2006-07-10,7,0,False
2006-07-17,8,0,False
2006-07-24,4,0,False
2006-07-31,1,0,False
2006-08-07,3,0,False
2006-08-14,5,0,False
2006-08-21,7,0,False
2006-08-28,3,0,False
2006-09-04,5,0,False
2006-09-11,6,0,False
2006-09-18,2,0,False
2006-09-25,8,0,False
2006-10-02,1,0,False
2006-10-09,5,0,False
2006-10-16,7,0,False
2006-10-23,1,0,False
2006-10-30,4,0,False
2006-11-06,2,0,False
2006-11-13,3,0,False
2006-11-20,4,0,False
2006-11-27,9,0,False
2006-12-04,7,0,False
2006-12-11,3,0,False
2006-12-18,4,0,False
2006-12-25,6,0,False
2007-01-01,4,0,False
2007-01-08,2,0,False
2007-01-15,2,0,False
2007-01-22,5,0,False
2007-01-29,5,0,False
2007-02-05,5,0,False
2007-02-12,1,0,False
2007-02-19,2,0,False
2007-02-26,0,0,False
2007-03-05,3,0,False
2007-03-12,2,0,False
2007-03-19,3,0,False
2007-03-26,4,0,False
2007-04-02,5,0,False
2007-04-09,5,0,False
2007-04-16,1,0,False
2007-04-23,1,0,False
2007-04-30,1,0,False
2007-05-07,1,0,False
2007-05-14,2,0,False
2007-05-21,4,0,False
2007-05-28,2,0,False
2007-06-04,3,0,False
2007-06-11,3,0,False
2007-06-18,6,0,False
